,movieid,title,genres,Average Rating,Number of Ratings,model_score,imdbid,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,tmdbId
2236,2429,Mighty Joe Young (1998),Adventure|Children's|Drama,2.827777777777778,180,509.00000000000006,120751.0,Mighty Joe Young,1998,1999-03-26,"Action, Adventure, Family",114.0,USA,"English, Swahili",Ron Underwood,"Merian C. Cooper, Ruth Rose",RKO Pictures,"Charlize Theron, Bill Paxton, Rade Serbedzija, Peter Firth, David Paymer, Regina King, Robert Wisdom, Naveen Andrews, Lawrence Pressman, Linda Purl, Mika Boorem, Geoffrey Blake, Christian Clemenson, Cory Buck, Liz Georges","A legendary fifteen-foot tall mountain gorilla named Joe is taken to an animal sanctuary in California by zoologist Gregg O'Hara (Bill Paxton) and Jill Young (Charlize Theron), with whom he grew up. Poacher Strasser (Rade Serbedzija) returns from the past to seek vengeance on Joe.",$ 90000000,$ 50632037,$ 50632037,51.0,97.0,40.0,9822.0
2237,2430,Mighty Joe Young (1949),Adventure|Children's|Drama,3.111111111111111,144,448.0,41650.0,Mighty Joe Young,1949,1949-08-29,"Adventure, Drama, Fantasy",94.0,USA,"English, Swahili",Ernest B. Schoedsack,"Ruth Rose, Merian C. Cooper",Argosy Pictures,"Terry Moore, Ben Johnson, Robert Armstrong, Mr. Joseph Young, Frank McHugh, Douglas Fowley, Denis Green, Paul Guilfoyle, Nestor Paiva, Regis Toomey, Lora Lee Michel, James Flavin, Mary Gordon",A young woman who has raised a giant gorilla from an infant brings him to Hollywood years later seeking her fortune.,$ 1800000,,,61.0,76.0,42.0,39314.0
2238,2431,Patch Adams (1998),Comedy|Drama,3.1371308016877637,474,1487.0,129290.0,Patch Adams,1998,1999-03-19,"Biography, Comedy, Drama",115.0,USA,English,Tom Shadyac,"Patch Adams, Maureen Mylander",Universal Pictures,"Robin Williams, Daniel London, Monica Potter, Philip Seymour Hoffman, Bob Gunton, Josef Sommer, Irma P. Hall, Frances Lee McCain, Harve Presnell, Daniella Kuhn, Peter Coyote, James Greene, Michael Jeter, Harold Gould, Bruce Bohne","The true story of a heroic man, Hunter ""Patch"" Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos.",$ 90000000,$ 135026902,$ 202292902,25.0,416.0,55.0,10312.0
2239,2432,Stepmom (1998),Drama,3.136986301369863,146,458.0,120686.0,Stepmom,1998,1999-02-12,"Comedy, Drama",125.0,USA,English,Chris Columbus,"Gigi Levangie, Gigi Levangie",TriStar Pictures,"Julia Roberts, Susan Sarandon, Ed Harris, Jena Malone, Liam Aiken, Lynn Whitfield, Darrell Larson, Mary Louise Wilson, Andre B. Blake, Herbert Russell, Jack Eagle, Lu Celania Sierra, Lauma Zemzare, Holly Schenck, Michelle Stone","A terminally-ill woman must deal with her ex-husband's new lover, who will be their children's stepmother.",$ 50000000,$ 91137662,$ 159710793,58.0,264.0,55.0,9441.0
2240,2433,"Civil Action, A (1998)",Drama,3.3594771241830066,612,2056.0,120633.0,A Civil Action,1998,1999-04-09,Drama,115.0,USA,English,Steven Zaillian,"Jonathan Harr, Steven Zaillian",Touchstone Pictures,"John Travolta, Robert Duvall, Tony Shalhoub, William H. Macy, Zeljko Ivanek, Bruce Norris, John Lithgow, Kathleen Quinlan, Peter Jacobson, Mary Mara, James Gandolfini, Stephen Fry, Dan Hedaya, David Thornton, Sydney Pollack","A tenacious lawyer takes on a case involving a major company responsible for causing several people to be diagnosed with leukemia due to the town's water supply being contaminated, at the risk of bankrupting his firm and career.",$ 75000000,$ 56709981,$ 56709981,68.0,188.0,121.0,9422.0
2241,2434,Down in the Delta (1998),Drama,3.6333333333333333,60,218.0,142231.0,Down in the Delta,1998,1998-12-25,Drama,112.0,USA,English,Maya Angelou,Myron Goble,Amen Ra Films,"Alfre Woodard, Al Freeman Jr., Mary Alice, Esther Rolle, Loretta Devine, Wesley Snipes, Mpho Koaho, Kulani Hassen, Anne-Marie Johnson, Justin Lord, Richard Yearwood, Sandra Caldwell, Colleen Williams, Richard Blackburn, Philip Akin",Rosa Lynn sends her druggie daughter Loretta and her children Thomas and Tracy away from the big city to live with their uncle Earl in the ancestral home in rural Mississippi. Earl puts ...,,$ 5672903,$ 5672903,73.0,21.0,15.0,125582.0
2242,2435,Hurlyburly (1998),Drama,3.080808080808081,99,305.0,119336.0,Hurlyburly,1998,1999-03-12,"Comedy, Drama",122.0,USA,English,Anthony Drazan,"David Rabe, David Rabe",FilmColony,"Sean Penn, Kevin Spacey, Robin Wright, Chazz Palminteri, Garry Shandling, Anna Paquin, Meg Ryan, Gianna Palminteri, David Fabrizio, Kenny Vance, Michaline Babich, Elaine Corral Kendall, Sharon Tay, Frank Somerville, Bob Jimenez",Hollywood movers and shakers dissect their own personal lives when everything seems to clash together.,$ 15000000,$ 1798862,$ 1808004,,184.0,59.0,24525.0
2243,2436,Tea with Mussolini (1999),Comedy,3.5901639344262297,122,438.0,120857.0,Un tè con Mussolini,1999,1999-03-26,"Comedy, Drama, War",117.0,"Italy, UK","English, Italian",Franco Zeffirelli,"John Mortimer, Franco Zeffirelli",Medusa Film,"Cher, Judi Dench, Joan Plowright, Maggie Smith, Lily Tomlin, Baird Wallace, Charlie Lucas, Massimo Ghini, Paolo Seganti, Claudio Spadaro, Mino Bellei, Paul Chequer, Tessa Pritchard, Michael Williams, Paula Jacobs",An orphaned Italian boy is raised amongst a circle of British and American women living in Mussolini's Italy before and during World War II.,$ 12000000,$ 14401563,$ 14401563,53.0,163.0,65.0,10368.0
2244,2437,Wilde (1997),Drama,3.6470588235294117,85,310.0,120514.0,Wilde,1997,1997-12-16,"Biography, Drama, Romance",118.0,"UK, Japan, Germany","English, Italian",Brian Gilbert,"Julian Mitchell, Richard Ellmann",Samuelson Productions,"Stephen Fry, Jude Law, Vanessa Redgrave, Jennifer Ehle, Gemma Jones, Judy Parfitt, Michael Sheen, Zoë Wanamaker, Tom Wilkinson, Ioan Gruffudd, Matthew Mills, Jason Morell, Peter Barkworth, Robert Lang, Philip Locke",The turmoil in poet/playwright Oscar Wilde's life after he discovers his homosexuality.,$ 10000000,$ 2158775,$ 2158775,,109.0,61.0,11365.0
2245,2438,Outside Ozona (1998),Drama|Thriller,4.0,1,4.0,144546.0,Outside Ozona,1998,1998-12-18,"Comedy, Drama, Romance",100.0,USA,English,J.S. Cardone,J.S. Cardone,Millennium Films,"Robert Forster, Kevin Pollak, Sherilyn Fenn, David Paymer, Penelope Ann Miller, Swoosie Kurtz, Taj Mahal, Meat Loaf, Lucy Webb, Lois Red Elk, Kateri Walker, Frederick Flynn, Beth Ann Styne, Kirk Baily, Jack Leal",A drama revolving around a group of strangers brought together by a common occurrence as well as listening to the same radio station.,,$ 7394,,,22.0,13.0,140897.0
2246,2439,Affliction (1997),Drama,3.611111111111111,198,715.0,118564.0,Affliction,1997,1999-04-02,"Drama, Mystery, Thriller",114.0,"USA, Canada, Japan",English,Paul Schrader,"Russell Banks, Paul Schrader",JVC Entertainment Networks,"Nick Nolte, Brigid Tierney, Holmes Osborne, Jim True-Frost, Tim Post, Christopher Heyerdahl, Marian Seldes, Janine Theriault, Mary Beth Hurt, Paul Stewart, Sissy Spacek, Wayne Robson, Sean McCann, Sheena Larkin, Penny Mancuso",A deeply troubled small-town cop investigates a suspicious hunting death while other events jeopardize his sanity.,$ 6000000,$ 6330054,$ 6330054,79.0,176.0,70.0,31662.0
2247,2440,Another Day in Paradise (1998),Drama,3.3617021276595747,47,158.0,127722.0,Another Day in Paradise,1998,1999-01-22,"Crime, Drama, Thriller",101.0,USA,English,Larry Clark,"Eddie Little, Christopher Landon",Chinese Bookie Pictures,"James Woods, Melanie Griffith, Vincent Kartheiser, Natasha Gregson Wagner, James Otis, Branden Williams, Brent Briscoe, Peter Sarsgaard, Paul Hipp, Kim Flowers, John Gatins, Ryan Donahue, Christopher Doyle, Dick Hancock, Pamela Gordon","In the hope of a big score, two junkie couples team up to commit various drug robberies which go disastrously wrong leading to dissent, violence and murder.",$ 4500000,$ 1036818,$ 1036818,,81.0,38.0,36136.0
2248,2441,"Hi-Lo Country, The (1998)",Drama|Western,3.0384615384615383,26,79.0,120699.0,The Hi-Lo Country,1998,1999-04-23,"Drama, Romance, Western",114.0,"UK, Germany, USA",English,Stephen Frears,"Max Evans, Walon Green",De Fina-Cappa,"Billy Crudup, Woody Harrelson, Cole Hauser, Enrique Castillo, Darren E. Burrows, Jacob Vargas, Robert Knott, Sam Elliott, Sandy Baron, Patricia Arquette, John Diehl, Craig Carter, Penélope Cruz, Walter C. Hall, James Gammon",Two cowboys have their friendship tested when they fall for the same girl.,,$ 166082,$ 166082,,32.0,46.0,1363.0
2249,2442,Hilary and Jackie (1998),Drama,3.825,160,612.0,150915.0,Hilary and Jackie,1998,1999-04-23,"Biography, Drama, Music",121.0,UK,English,Anand Tucker,"Hilary du Pré, Piers du Pré",Arts Council of England,"Emily Watson, Rachel Griffiths, James Frain, David Morrissey, Charles Dance, Celia Imrie, Rupert Penry-Jones, Bill Paterson, Auriol Evans, Keylee Jade Flanders, Grace Chatto, Nyree Dawn Porter, Maggie McCarthy, Vernon Dobtcheff, Anthony Smee","The tragic story of world renowned classic cellist Jacqueline du Pré, as told from the point of view of her sister, flautist Hilary du Pré-Finzi.",$ 7000000,$ 4912892,$ 4912892,78.0,108.0,71.0,46992.0
2250,2443,Playing by Heart (1998),Drama|Romance,3.5952380952380953,126,453.0,145734.0,Playing by Heart,1998,1999-04-23,"Comedy, Drama, Romance",121.0,USA,"English, German",Willard Carroll,Willard Carroll,Hyperion Pictures,"Angelina Jolie, Dennis Quaid, April Grace, Patricia Clarkson, Gena Rowlands, Sean Connery, Gillian Anderson, Christian Mills, Kellie Waymire, Madeleine Stowe, Anthony Edwards, Ellen Burstyn, Jay Mohr, Tim Halligan, Michael Emerson",Eleven articulate people work through affairs of the heart in Los Angeles.,$ 20000000,$ 3970078,$ 3970078,,196.0,79.0,825.0
2251,2444,24 7: Twenty Four Seven (1997),Comedy|Drama,4.0,5,20.0,120391.0,TwentyFourSeven,1997,1998-09-11,"Comedy, Drama, Romance",96.0,UK,English,Shane Meadows,"Paul Fraser, Shane Meadows",British Broadcasting Corporation (BBC),"Danny Nussbaum, Toby, Bob Hoskins, Bruce Jones, Annette Badland, Justin Brady, James Hooton, Darren Campbell, Krishan Beresford, Karl Collins, Anthony Clarke, Johann Myers, Jimmy Hynd, Mat Hand, Dominic Dillon","In a typical English working-class town, the juveniles have nothing more to do than hang around in gangs. One day, Alan Darcy, a highly motivated man with the same kind of youth experience,...",,$ 91805,$ 91805,,21.0,43.0,22913.0
2252,2445,At First Sight (1999),Drama,2.7972972972972974,74,207.0,132512.0,At First Sight,1999,1999-04-30,"Drama, Romance",128.0,USA,English,Irwin Winkler,"Oliver Sacks, Steve Levitt",Metro-Goldwyn-Mayer (MGM),"Val Kilmer, Mira Sorvino, Kelly McGillis, Steven Weber, Bruce Davison, Nathan Lane, Ken Howard, Laura Kirk, Margo Winkler, Diana Krall, Brett Robbins, Willie C. Carpenter, Charles Winkler, Drena De Niro, Kelly Chapman",A blind man has an operation to regain his sight at the urging of his girlfriend and must deal with the changes to his life.,$ 60000000,$ 22365133,$ 22365133,40.0,104.0,59.0,15556.0
2253,2446,In Dreams (1999),Thriller,2.5396825396825395,63,160.0,120710.0,In Dreams,1999,1999-05-21,"Drama, Fantasy, Thriller",100.0,USA,English,Neil Jordan,"Bari Wood, Bruce Robinson",Amblin Entertainment,"Annette Bening, Katie Sagona, Aidan Quinn, Robert Downey Jr., Paul Guilfoyle, Kathleen Langlois, Jennifer Berry, Emma J. Brown, Jennifer Dragon, Samantha Kelly, Jennifer Caine Natenshon, Bethany M. Paquin, Erica Sullivan, Amelia Claire Novotny, Kristin Sroka","A suburban housewife learns that she has a dreamworld connection to a serial murderer, and must stop him from killing again.",$ 30000000,$ 12017369,$ 12017369,,153.0,64.0,28902.0
2254,2447,Varsity Blues (1999),Comedy|Drama,3.0601503759398496,266,814.0,139699.0,Varsity Blues,1999,1999-07-09,"Comedy, Drama, Romance",106.0,USA,English,Brian Robbins,W. Peter Iliff,MTV Films,"James Van Der Beek, Jon Voight, Paul Walker, Ron Lester, Scott Caan, Richard Lineback, Tiffany C. Love, Amy Smart, Eliel Swinton, Thomas F. Duffy, Jill Parker-Jones, Joe Pichler, Mark Walters, Brady Coleman, James N. Harrell",A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.,$ 16000000,$ 52894169,$ 54294169,50.0,279.0,71.0,14709.0
2255,2448,Virus (1999),Horror|Sci-Fi,2.3492063492063493,189,444.0,120458.0,Virus,1999,1999-05-14,"Action, Horror, Sci-Fi",99.0,"USA, UK, Germany, Japan, France","English, Russian",John Bruno,"Chuck Pfarrer, Chuck Pfarrer",Mutual Film Company,"Jamie Lee Curtis, William Baldwin, Donald Sutherland, Joanna Pacula, Marshall Bell, Sherman Augustus, Cliff Curtis, Julio Oscar Mechoso, Yuri Chervotkin, Keith Flippen, Olga Rzhepetskaya-Retchin, Levani, David Eggby","When the crew of an American tugboat boards an abandoned Russian research vessel, the alien life form aboard regards them as a virus which must be destroyed.",$ 75000000,$ 14036005,$ 30657854,19.0,265.0,98.0,9423.0
2256,2449,"Garbage Pail Kids Movie, The (1987)",Adventure|Children's,1.53125,32,49.0,,,,,,,,,,,,,,,,,,,,
2257,2450,Howard the Duck (1986),Adventure|Children's|Sci-Fi,2.0990783410138247,434,910.9999999999999,91225.0,Howard the Duck,1986,1986-12-23,"Action, Adventure, Comedy",110.0,USA,English,Willard Huyck,"Steve Gerber, Willard Huyck",Universal Pictures,"Lea Thompson, Jeffrey Jones, Tim Robbins, Ed Gale, Chip Zien, Tim Rose, Steve Sleap, Peter Baird, Mary Wells, Lisa Sturz, Jordan Prentice, Paul Guilfoyle, Liz Sagal, Dominique Davalos, Holly Robinson Peete",A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop a hellish alien invasion with the help of a nerdy scientist and a cute struggling female rock singer who fancies him.,$ 37000000,$ 16295774,$ 37962774,28.0,332.0,109.0,10658.0
2258,2451,"Gate, The (1987)",Horror,2.646017699115044,113,299.0,93075.0,The Gate,1987,1987-12-11,"Fantasy, Horror",85.0,Canada,English,Tibor Takács,Michael Nankin,New Century Entertainment,"Stephen Dorff, Christa Denton, Louis Tripp, Kelly Rowan, Jennifer Irwin, Deborah Grover, Scot Denton, Ingrid Veninger, Sean Fagan, Linda Goranson, Carl Kraines, Andrew Gunn","Kids, left home alone, accidentally unleash a horde of malevolent demons from a mysterious hole in their suburban backyard.",CAD 2500000,$ 13539458,$ 13539458,55.0,107.0,94.0,6917.0
2259,2452,"Gate II: Trespassers, The (1990)",Horror,1.6842105263157894,19,32.0,99636.0,The Gate II: Trespassers,1990,1991-05-17,"Fantasy, Horror, Comedy",90.0,Canada,English,Tibor Takács,"Michael Nankin, Michael Nankin",Vision PDG,"Louis Tripp, Simon Reynolds, James Villemaire, Pamela Adlon, Neil Munro, James Kidnie, Irene Pauzer, Larry O'Brey, Elva Mai Hoover, Gerry Mendicino, Mark Saunders, Todd Postlethwaite, Edward Leefe, Layne Coleman, Anita Olanick","Four teens summon forth a diminuitive, demonic minion from The Other Side to do their bidding and grant their wishes, but of course, they must all ultimately pay the price...",$ 6500000,$ 2032973,$ 2032973,,35.0,38.0,40729.0
2260,2453,"Boy Who Could Fly, The (1986)",Drama|Fantasy,3.25,176,572.0,90768.0,The Boy Who Could Fly,1986,1987-08-07,"Drama, Fantasy, Romance",114.0,USA,English,Nick Castle,Nick Castle,Lorimar Productions,"Lucy Deakins, Jay Underwood, Bonnie Bedelia, Fred Savage, Colleen Dewhurst, Fred Gwynne, Mindy Cohn, Janet MacLachlan, Jennifer Michas, Michelle Bardeaux, Aura Pithart, Cameron Bancroft, Jason Priestley, Chris Arnold, Sean Kelso","An autistic boy who dreams of flying touches everyone he meets, including a new family who has moved in after their father dies.",,$ 7177431,$ 7177431,67.0,36.0,13.0,24086.0
2261,2454,"Fly, The (1958)",Horror|Sci-Fi,3.3583333333333334,480,1612.0,51622.0,The Fly,1958,1958-09-05,"Drama, Horror, Sci-Fi",94.0,USA,"English, French",Kurt Neumann,"James Clavell, George Langelaan",Regal Films,"David Hedison, Patricia Owens, Vincent Price, Herbert Marshall, Kathleen Freeman, Betty Lou Gerson, Charles Herbert",A scientist has a horrific accident when he tries to use his newly invented teleportation device.,$ 700000,,$ 1501,,134.0,95.0,11815.0
2262,2455,"Fly, The (1986)",Horror|Sci-Fi,3.4407096171802056,1071,3685.0,91064.0,The Fly,1986,1987-01-08,"Drama, Horror, Sci-Fi",96.0,"USA, UK, Canada",English,David Cronenberg,"George Langelaan, Charles Edward Pogue",SLM Production Group,"Jeff Goldblum, Geena Davis, John Getz, Joy Boushel, Leslie Carlson, George Chuvalo, Michael Copeman, David Cronenberg, Carol Lazare, Shawn Hewitt",A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong.,$ 15000000,$ 40456565,$ 60632088,79.0,341.0,177.0,9426.0
2263,2456,"Fly II, The (1989)",Horror|Sci-Fi,2.313380281690141,284,657.0,97368.0,The Fly II,1989,1989-04-28,"Drama, Horror, Sci-Fi",105.0,"USA, UK, France",English,Chris Walas,"Mick Garris, Jim Wheat",Brooksfilms,"Eric Stoltz, Daphne Zuniga, Lee Richardson, John Getz, Frank C. Turner, Ann Marie Lee, Garry Chalk, Saffron Henderson, Harley Cross, Matthew Moore, Rob Roy, Andrew Rhodes, Pat Bermel, William S. Taylor, Jerry Wasserman","The almost-human son of ""Brundlefly"" searches for a cure to his mutated genes while being monitored by a nefarious corporation that wishes to continue his father's experiments.",,$ 20021322,$ 38903179,36.0,131.0,98.0,10344.0
2264,2457,Running Scared (1986),Action|Comedy,3.382239382239382,259,876.0,91875.0,Running Scared,1986,1987-01-09,"Action, Comedy, Crime",107.0,USA,English,Peter Hyams,"Gary DeVore, Gary DeVore",Metro-Goldwyn-Mayer (MGM),"Gregory Hines, Billy Crystal, Steven Bauer, Darlanne Fluegel, Joe Pantoliano, Dan Hedaya, Jon Gries, Tracy Reed, Jimmy Smits, John DiSanti, Larry Hankin, Don Calfa, Robert Lesser, Betty Carvalho, Louis Perez",Two street-wise Chicago cops have to shake off some rust after returning from a Key West vacation to pursue a drug dealer who nearly killed them in the past.,,$ 38500726,$ 38500726,49.0,77.0,24.0,15698.0
2265,2458,Armed and Dangerous (1986),Comedy|Crime,2.476923076923077,130,322.0,90660.0,Armed and Dangerous,1986,1988-07-29,"Action, Comedy, Crime",88.0,USA,English,Mark L. Lester,"Brian Grazer, Harold Ramis",Columbia Pictures,"John Candy, Eugene Levy, Robert Loggia, Kenneth McMillan, Meg Ryan, Brion James, Jonathan Banks, Don Stroud, Larry Hankin, Steve Railsback, Robert Burgos, Tony Burton, Robert Gray, Larry Flash Jenkins, Stacy Keach Sr.",A fired cop and useless lawyer sign up as security guards and find they've joined a corrupt union.,$ 12000000,$ 15945534,$ 15945534,17.0,39.0,16.0,2620.0
2266,2459,"Texas Chainsaw Massacre, The (1974)",Horror,3.222672064777328,247,796.0,72271.0,The Texas Chain Saw Massacre,1974,1974-10-11,Horror,83.0,USA,English,Tobe Hooper,"Kim Henkel, Tobe Hooper",Vortex,"Marilyn Burns, Allen Danziger, Paul A. Partain, William Vail, Teri McMinn, Edwin Neal, Jim Siedow, Gunnar Hansen, John Dugan, Robert Courtin, William Creamer, John Henry Faulk, Jerry Green, Ed Guinn, Joe Bill Hogan",Two siblings and three of their friends en route to visit their grandfather's grave in Texas end up falling victim to a family of cannibalistic psychopaths and must survive the terrors of Leatherface and his family.,$ 300000,$ 30859000,$ 30859000,78.0,943.0,256.0,30497.0
2267,2460,"Texas Chainsaw Massacre 2, The (1986)",Horror,2.353448275862069,116,273.0,92076.0,The Texas Chainsaw Massacre 2,1986,1987-02-06,"Comedy, Horror",101.0,USA,English,Tobe Hooper,"L.M. Kit Carson, Tobe Hooper",Cannon Films,"Dennis Hopper, Caroline Williams, Jim Siedow, Bill Moseley, Bill Johnson, Ken Evert, Harlan Jordan, Kirk Sisco, James N. Harrell, Lou Perryman, Barry Kinyon, Chris Douridas, Judy Kelly, John Martin Ivey, Kinky Friedman",A radio host is victimized by the cannibal family as a former Texas Marshall hunts them.,$ 4700000,$ 8025872,$ 8025872,42.0,285.0,151.0,16337.0
2268,2461,Leatherface: Texas Chainsaw Massacre III (1990),Horror,2.096774193548387,62,130.0,99994.0,Leatherface: Texas Chainsaw Massacre III,1990,1990-01-12,"Horror, Thriller",85.0,USA,English,Jeff Burr,"Kim Henkel, Tobe Hooper",Nicolas Entertainment,"Kate Hodge, Ken Foree, R.A. Mihailoff, William Butler, Viggo Mortensen, Joe Unger, Tom Everett, Miriam Byrd-Nethery, Jennifer Banko, David Cloud, Beth DePatie, Toni Hudson, Michael Shamus Wiles, Ron Brooks, Duane Whitaker",A California couple and a survivalist encounter Leatherface and his family.,$ 2000000,$ 5765562,$ 5765562,30.0,146.0,87.0,25018.0
2269,2462,"Return of the Texas Chainsaw Massacre, The (1994)",Horror,1.8333333333333333,54,99.0,110978.0,The Return of the Texas Chainsaw Massacre,1995,1995-10-21,"Comedy, Horror, Thriller",87.0,USA,English,Kim Henkel,"Kim Henkel, Tobe Hooper",Genre Pictures,"Renée Zellweger, Matthew McConaughey, Robert Jacks, Tonie Perensky, Joe Stevens, Lisa Marie Newmyer, John Harrison, Tyler Shea Cone, James Gale, Chris Kilgore, Vince Brock, Susan Loughran, David Laurence, Grayson Victor Schirmacher, Jeanette Wiggins","A group of teenagers get into a car crash in the Texas woods on prom night, and then wander into an old farmhouse that is home to Leatherface (",$ 600000,$ 185898,$ 185898,50.0,287.0,70.0,16780.0
2270,2463,Ruthless People (1986),Comedy,3.4610526315789474,475,1644.0,91877.0,Ruthless People,1986,1986-11-13,"Comedy, Crime",93.0,USA,English,"Jim Abrahams, David Zucker",Dale Launer,Touchstone Pictures,"Danny DeVito, Bette Midler, Judge Reinhold, Helen Slater, Anita Morris, Bill Pullman, William G. Schilling, Art Evans, Clarence Felder, J.E. Freeman, Gary Riley, Phyllis Applegate, Jeannine Bisignano, J.P. Bumstead, Jon Cutler","A couple, cheated by a vile businessman, kidnap his wife in retaliation, without knowing that their enemy is delighted they did.",$ 13000000,$ 71624879,$ 71624879,78.0,85.0,33.0,12151.0
2271,2464,Trick or Treat (1986),Horror,2.625,8,21.0,92112.0,Trick or Treat,1986,1987-09-11,"Comedy, Horror, Music",98.0,USA,English,Charles Martin Smith,"Rhet Topham, Michael S. Murphey",De Laurentiis Entertainment Group (DEG),"Marc Price, Tony Fields, Lisa Orgolini, Doug Savant, Elaine Joyce, Glen Morgan, Gene Simmons, Ozzy Osbourne, Elise Richards, Richard Pachorek, Clare Torao, Alice Nunn, Larry Sprinkle, Charles Martin Smith, Claudia Templeton","A bullied teenage boy is devastated after the death of his heavy metal idol, Sammi Curr. But as Hallowe'en night approaches, he discovers that he may be the only one who can stop Sammi from making a Satanic comeback from beyond the grave.",,$ 6797218,$ 6797218,57.0,73.0,72.0,25438.0
2272,2465,Deadly Friend (1986),Horror,2.0238095238095237,42,85.0,90917.0,Deadly Friend,1986,1987-02-06,"Drama, Horror, Sci-Fi",91.0,USA,English,Wes Craven,"Diana Henstell, Bruce Joel Rubin",Warner Bros.,"Matthew Labyorteaux, Kristy Swanson, Michael Sharrett, Anne Twomey, Anne Ramsey, Richard Marcus, Russ Marin, Lee Paul, Andrew Roperto, Charles Fleischer, Robin Nuyen, Frank Cavestani, Merritt Olsen, William H. Faeth, Joel Hile","After his friend is killed by her abusive father, the new kid in town attempts to save her by implanting robotic microchips into her brain.",,$ 8988731,$ 8988731,44.0,73.0,66.0,33278.0
2273,2466,Belizaire the Cajun (1986),Drama,3.4615384615384617,13,45.0,90710.0,Belizaire the Cajun,1986,1986-06-13,"Drama, History, Romance",103.0,USA,English,Glen Pitre,Glen Pitre,Cote Blanche Productions,"Armand Assante, Gail Youngs, Michael Schoeffling, Stephen McHattie, Will Patton, Nancy Barrett, Loulan Pitre, Andre Delaunay, Jim Levert, Ernie Vincent, Paul Landry, Allan Durand, Robert Duvall, Bob Edmundson, Charlie Goulas",A Cajun man attempts to save his town.,,$ 1142243,$ 1142243,,15.0,4.0,274253.0
2274,2467,"Name of the Rose, The (1986)",Mystery,3.9012345679012346,324,1264.0,91605.0,Der Name der Rose,1986,1986-10-17,"Crime, Drama, Mystery",130.0,"West Germany, Italy, France","English, Latin, Italian",Jean-Jacques Annaud,"Umberto Eco, Andrew Birkin",Constantin Film,"Sean Connery, Christian Slater, Helmut Qualtinger, Elya Baskin, Michael Lonsdale, Volker Prechtel, Feodor Chaliapin Jr., William Hickey, Michael Habeck, Urs Althaus, Valentina Vargas, Ron Perlman, Leopoldo Trieste, Franco Valobra, Vernon Dobtcheff",An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,ITL 30000000000,$ 7153487,$ 7153487,54.0,177.0,78.0,192.0
2275,2468,Jumpin' Jack Flash (1986),Action|Comedy|Romance|Thriller,2.770053475935829,374,1036.0,91306.0,Jumpin' Jack Flash,1986,1987-04-03,"Comedy, Romance, Thriller",105.0,USA,English,Penny Marshall,"David Franzoni, David Franzoni",Lawrence Gordon Productions,"Whoopi Goldberg, Stephen Collins, John Wood, Carol Kane, Annie Potts, Peter Michael Goetz, Roscoe Lee Browne, Sara Botsford, Jeroen Krabbé, Vyto Ruginis, Jonathan Pryce, Tony Hendra, Jon Lovitz, Phil Hartman, Lynne Marie Stewart","A computer wiz woman/W.Goldberg works at a computer terminal in a NYC bank. One day she gets a strange message and breaks the code. Suddenly, she finds herself in the middle of dangerous spy business.",,$ 29844101,$ 29844101,52.0,72.0,27.0,10945.0
2276,2469,Peggy Sue Got Married (1986),Comedy|Romance,3.2766798418972334,506,1658.0,91738.0,Peggy Sue Got Married,1986,1987-02-12,"Comedy, Drama, Fantasy",103.0,USA,English,Francis Ford Coppola,"Jerry Leichtling, Arlene Sarner",TriStar Pictures,"Kathleen Turner, Nicolas Cage, Barry Miller, Catherine Hicks, Joan Allen, Kevin J. O'Connor, Jim Carrey, Lisa Jane Persky, Lucinda Jenney, Wil Shriner, Barbara Harris, Don Murray, Sofia Coppola, Maureen O'Sullivan, Leon Ames","Peggy Sue faints at a high school reunion. When she wakes up, she finds herself in her own past, just before she finished school.",$ 18000000,$ 41382841,$ 41488348,74.0,115.0,51.0,10013.0
2277,2470,Crocodile Dundee (1986),Adventure|Comedy,3.4265350877192984,912,3125.0,90555.0,'Crocodile' Dundee,1986,1986-04-24,"Action, Adventure, Comedy",97.0,Australia,English,Peter Faiman,"Ken Shadie, John Cornell",Rimfire Films,"Paul Hogan, Linda Kozlowski, John Meillon, David Gulpilil, Ritchie Singer, Maggie Blinco, Steve Rackman, Gerry Skilton, Terry Gill, Peter Turnbull, Khristina Totos, Graham 'Grace' Walker, David Bracks, Brett Hogan, Mark Blum",An American reporter goes to the Australian outback to meet an eccentric crocodile poacher and invites him to New York City.,$ 8800000,$ 174803506,$ 328203506,62.0,124.0,44.0,9671.0
